Sec,	Num,	Datetime(utc)
0580,	049,	2017-09-23 03:40:00
0581,	056,	2017-09-23 03:41:00
0582,	032,	2017-09-23 03:42:00
0583,	042,	2017-09-23 03:43:00
0584,	065,	2017-09-23 03:44:00
0585,	100,	2017-09-23 03:45:00
0586,	043,	2017-09-23 03:46:00
0587,	029,	2017-09-23 03:47:00
0588,	073,	2017-09-23 03:48:00
0589,	045,	2017-09-23 03:49:00
0590,	039,	2017-09-23 03:50:00
0591,	075,	2017-09-23 03:51:00
0592,	035,	2017-09-23 03:52:00
0593,	066,	2017-09-23 03:53:00
0594,	025,	2017-09-23 03:54:00
0595,	042,	2017-09-23 03:55:00
0596,	080,	2017-09-23 03:56:00
0597,	035,	2017-09-23 03:57:00
0598,	041,	2017-09-23 03:58:00
0599,	082,	2017-09-23 03:59:00
0600,	051,	2017-09-23 04:00:00
0601,	035,	2017-09-23 04:01:00
0602,	050,	2017-09-23 04:02:00
0603,	113,	2017-09-23 04:03:00
0604,	068,	2017-09-23 04:04:00
0605,	076,	2017-09-23 04:05:00
0606,	074,	2017-09-23 04:06:00
0607,	071,	2017-09-23 04:07:00
0608,	084,	2017-09-23 04:08:00
0609,	033,	2017-09-23 04:09:00
0610,	033,	2017-09-23 04:10:00
0611,	016,	2017-09-23 04:11:00
0612,	025,	2017-09-23 04:12:00
0613,	076,	2017-09-23 04:13:00
0614,	028,	2017-09-23 04:14:00
0615,	039,	2017-09-23 04:15:00
0616,	084,	2017-09-23 04:16:00
0617,	063,	2017-09-23 04:17:00
0618,	039,	2017-09-23 04:18:00
0619,	043,	2017-09-23 04:19:00
0620,	190,	2017-09-23 04:20:00
0621,	080,	2017-09-23 04:21:00
0622,	059,	2017-09-23 04:22:00
0623,	032,	2017-09-23 04:23:00
0624,	046,	2017-09-23 04:24:00
0625,	041,	2017-09-23 04:25:00
0626,	019,	2017-09-23 04:26:00
0627,	027,	2017-09-23 04:27:00
0628,	068,	2017-09-23 04:28:00
0629,	032,	2017-09-23 04:29:00
0630,	028,	2017-09-23 04:30:00
0631,	050,	2017-09-23 04:31:00
0632,	078,	2017-09-23 04:32:00
0633,	047,	2017-09-23 04:33:00
0634,	169,	2017-09-23 04:34:00
0635,	031,	2017-09-23 04:35:00
0636,	078,	2017-09-23 04:36:00
0637,	127,	2017-09-23 04:37:00
0638,	038,	2017-09-23 04:38:00
0639,	042,	2017-09-23 04:39:00
0640,	138,	2017-09-23 04:40:00
0641,	084,	2017-09-23 04:41:00
0642,	025,	2017-09-23 04:42:00
0643,	065,	2017-09-23 04:43:00
0644,	019,	2017-09-23 04:44:00
0645,	180,	2017-09-23 04:45:00
0646,	069,	2017-09-23 04:46:00
0647,	042,	2017-09-23 04:47:00
0648,	088,	2017-09-23 04:48:00
0649,	056,	2017-09-23 04:49:00
0650,	054,	2017-09-23 04:50:00
0651,	053,	2017-09-23 04:51:00
0652,	048,	2017-09-23 04:52:00
0653,	083,	2017-09-23 04:53:00
0654,	033,	2017-09-23 04:54:00
0655,	047,	2017-09-23 04:55:00
0656,	041,	2017-09-23 04:56:00
0657,	063,	2017-09-23 04:57:00
0658,	032,	2017-09-23 04:58:00
0659,	041,	2017-09-23 04:59:00
0660,	053,	2017-09-23 05:00:00
0661,	109,	2017-09-23 05:01:00
0662,	052,	2017-09-23 05:02:00
0663,	026,	2017-09-23 05:03:00
0664,	035,	2017-09-23 05:04:00
0665,	061,	2017-09-23 05:05:00
0666,	042,	2017-09-23 05:06:00
